Core-ID,CDISC Rule ID,Error Message,Description,Standard Name,Standard Version,Scope,Executability,Status
CDISC.SDTMIG.CG0558,CG0558,"Parameter is non-normalized, and the value in PPSTRESU is not in codelist PKUNIT.",Trigger error when parameter is non-normalized and value in PPSTRESU is not for a non-normalized parameter.,SDTMIG,"3.4, 3.3","{""Classes"":{""Include"":[""FINDINGS""]},""Domains"":{""Include"":[""PP""]}}",Fully Executable,Draft
CDISC.SDTMIG.CG0555,CG0555,"Parameter is non-normalized, and the value in PPORRESU is not in codelist PKUNIT.",Trigger error when parameter is non-normalized and value in PPORRESU is not for a non-normalized parameter.,SDTMIG,"3.4, 3.3","{""Classes"":{""Include"":[""FINDINGS""]},""Domains"":{""Include"":[""PP""]}}",Fully Executable,Draft
CDISC.SDTMIG.CG0557,CG0557,"Parameter is normalized by weight, and the value in PPORRESU is not in codelist PKUWG nor in codelist PKUWKG.",Trigger error when parameter is normalized by weight and value in PPORRESU is not for a parameter normalized by weight.,SDTMIG,"3.4, 3.3","{""Classes"":{""Include"":[""FINDINGS""]},""Domains"":{""Include"":[""PP""]}}",Fully Executable,Draft
CDISC.SDTMIG.CG0556,CG0556,"Parameter is normalized by dose, and the value in PPORRESU is not in codelist PKUDMG nor in codelist PKUDUG.",Trigger error when parameter is normalized by dose and value in PPORRESU is not for a parameter normalized by dose.,SDTMIG,"3.4, 3.3","{""Classes"":{""Include"":[""FINDINGS""]},""Domains"":{""Include"":[""PP""]}}",Fully Executable,Draft
CORE-001082,CG0012,Variable data type specified in the dataset does not match the variable data type in the IG or the Model.,Raise an error when the variable type does not match IG Type (for domains in IG) or Model Type (custom domains),SDTMIG,"3.4, 3.2, 3.3","{""Classes"":{""Include"":[""ALL""]},""Domains"":{""Include"":[""ALL""]}}",Fully Executable,Published
CORE-000184,"CG0083, TIG0348, FB0910",'--BODSYS and --BDSYCD do not have a one-to-one relationship.,'--BODSYS and --BDSYCD  have a one-to-one relationship.,"SDTMIG, TIG","3.4, 3.3, 3.2, 1.0","{""Classes"":{""Include"":[""EVENTS""]},""Domains"":{""Include"":[""ALL""]},""Use_Case"":""INDH""}",Fully Executable,Published
CORE-000268,"CG0049, TIG0327, FB0909",'--DECOD and --PTCD do not have a one-to-one relationship.,'--DECOD and --PTCD should have a one-to-one relationship.,"SDTMIG, TIG","3.4, 3.3, 3.2, 1.0","{""Classes"":{""Include"":[""EVENTS""]},""Domains"":{""Include"":[""ALL""]},""Use_Case"":""INDH""}",Fully Executable,Published
FDA.SDTMIG.FB1107,FB1107,No occurrence of TSPARAMCD='CURTRT' is included in TS or TSVAL is null.,At least one occurrence of TSPARAMCD='CURTRT' is included in TS with TSVAL populated.,SDTMIG,"3.2, 3.3, 3.4","{""Classes"":{""Include"":[""TRIAL DESIGN""]},""Domains"":{""Include"":[""TS""]}}",Fully Executable,Draft
CDISC.SDTMIG.CG0651,CG0651,"Variable is missing, where variable core status is permissible and data is planned to be collected.","Raise an error when variable Core Status = Permissible and data is planned to be collected, but variable is not present",SDTMIG,"3.4, 3.3","{""Classes"":{""Include"":[""ALL""]},""Domains"":{""Include"":[""ALL""]}}",Partially Executable - Possible Underreporting,Draft
CORE-000716,FB0911,'--SOCCD and --SOC do not have a one-to-one relationship.,'--SOCCD and --SOC should have a one-to-one relationship.,SDTMIG,"3.2, 3.3, 3.4","{""Classes"":{""Include"":[""EVENTS""]},""Domains"":{""Include"":[""ALL""]}}",Fully Executable,Published
CORE-000719,FB0908,'--HLGTCD and --HLGT do not have a one-to-one relationship.,'--HLGTCD and --HLGT should have a one-to-one relationship.,SDTMIG,"3.2, 3.3, 3.4","{""Classes"":{""Include"":[""EVENTS""]},""Domains"":{""Include"":[""ALL""]}}",Fully Executable,Published
CORE-000723,FB0907,'--HLTCD and --HLT do not have a one-to-one relationship.,'--HLTCD and --HLT should have a one-to-one relationship.,SDTMIG,"3.2, 3.3, 3.4","{""Classes"":{""Include"":[""EVENTS""]},""Domains"":{""Include"":[""ALL""]}}",Fully Executable,Published
CORE-000706,FB0906,'--LLTCD and --LLT do not have a one-to-one relationship.,'--LLTCD and --LLT should have a one-to-one relationship.,SDTMIG,"3.2, 3.3, 3.4","{""Classes"":{""Include"":[""EVENTS""]},""Domains"":{""Include"":[""ALL""]}}",Fully Executable,Published
CORE-001081,CG0010,Variable role specified in the define-xml does not match the variable role in the IG (for domains) or in the model (for custom domains).,"Raise an error when the metadata attribute of variable role does not match the IG role for domain in IG, or model role (for custom domains)",SDTMIG,"3.4, 3.2, 3.3","{""Classes"":{""Include"":[""ALL""]},""Domains"":{""Include"":[""ALL""]}}",Fully Executable,Published
CDISC.SDTMIG.CG0155,CG0155,AP DOMAIN value should start with 'AP' and length should be equal to 4.,Raise an error when DOMAIN value begins with AP and length of domain variable is not 4 or DOMAIN value doesn't end with a valid SDTM domain.,SDTMIG,"3.2, 3.3","{""Classes"":{""Include"":[""ALL""]},""Domains"":{""Exclude"":[""APRELSUB"",""FA"",""POOLDEF""],""Include"":[""ALL""]}}",Partially Executable - Possible Overreporting,Draft
FDA.SDTMIG.FB0405,FB0405,Missing LB dataset.,LB dataset should be present in the submission when related data is collected.,SDTMIG,"3.2, 3.3, 3.4","{""Classes"":{""Include"":[""ALL""]},""Domains"":{""Include"":[""ALL""]}}",Fully Executable,Draft
CDISC.SDTMIG.CG0418,CG0418,TAETORD does not match the order of Trial Arms,Trigger error when the order of TAETORD does not match the order of Trial Arms,SDTMIG,"3.2, 3.3, 3.4","{""Classes"":{""Include"":[""ALL""]},""Domains"":{""Include"":[""ALL""]}}",Fully Executable,Draft
CORE-000774,FB4202,"'--STAT = NOT DONE, but --REASND is missing.","When a test is not done (--STAT = NOT DONE), the Reason Not Done (--REASND) should be populated.","SDTMIG, SENDIG, SENDIG-GENETOX, SENDIG-DART, SENDIG-AR","3.2, 3.3, 3.4, 3.0, 3.1, 3.1.1, 1.0, 1.1, 1.2","{""Classes"":{""Include"":[""FINDINGS"",""FINDINGS ABOUT""]},""Domains"":{""Include"":[""ALL""]}}",Partially Executable - Possible Overreporting,Published
CORE-001080,CG0288,TSVALCD is not a valid code in the CDISC CT version identified in TSVCDVER.,Raise an error when TSVCDREF ='CDISC' and TSVALCD is not a valid code in the version identified in TSVCDVER.,SDTMIG,"3.4, 3.3, 3.2","{""Classes"":{""Include"":[""TRIAL DESIGN""]},""Domains"":{""Include"":[""TS""]}}",Fully Executable,Published
CORE-001079,"CG0013, CG0351",Variables not listed in the Model List of Allowed Variables for Observation Class should be in SUPPQUAL.,Raise an error when a variable is not an allowed variable for an Observation Class,SDTMIG,3.3,"{""Classes"":{""Include"":[""ALL""]},""Domains"":{""Include"":[""ALL""]}}",Partially Executable - Possible Underreporting,Published
CORE-000550,"CG0013, TIG0298, CG0351",Variables not listed in the Model List of Allowed Variables for Observation Class should be in SUPPQUAL.,Raise an error when a variable is not an allowed variable for an Observation Class,"SDTMIG, TIG","3.4, 3.2, 1.0","{""Classes"":{""Include"":[""ALL""]},""Domains"":{""Include"":[""ALL""]},""Use_Case"":""INDH, PROD""}",Partially Executable - Possible Underreporting,Published
,FB1113,"No occurrence of TSPARAMCD='CURTRT' is included in TS or TSVAL is null.The count of occurrences of TSPARAMCD = <value> not in the set ('FCNTRY', 'OBJPRIM', 'OBJSEC', 'OUTMSPRI', .'OUTMSSEC', 'RANDQT', 'REGID', 'TITLE', 'TTYPE') included in the list of TSPARAMCD with TSVAL populated is gt 1.","The count of occurrences of TSPARAMCD = <value> not in the set ('FCNTRY', 'OBJPRIM', 'OBJSEC', 'OUTMSPRI', .'OUTMSSEC', 'RANDQT', 'REGID', 'TITLE', 'TTYPE') included in the list of TSPARAMCD with TSVAL populated is eq 1.",SDTMIG,"3.2, 3.3, 3.4","{""Classes"":{""Include"":[""TRIAL DESIGN""]},""Domains"":{""Include"":[""TS""]}}",Fully Executable,Draft
CORE-000790,FB2505,Subject is assigned to an arm code (randomized) but has no record in EX.,"If a subject is assigned to an arm, the subject should have a record in EX.",SDTMIG,3.2,"{""Classes"":{""Include"":[""SPECIAL PURPOSE""]},""Domains"":{""Include"":[""DM""]}}",Partially Executable,Published
CORE-000748,FB2504,Subject is assigned to an arm (randomized) but has no record in EX.,"If a subject is assigned to an arm code, the subject should have a record in EX.",SDTMIG,"3.3, 3.4","{""Classes"":{""Include"":[""SPECIAL PURPOSE"",""INTERVENTIONS""]},""Domains"":{""Include"":[""DM""]}}",Partially Executable,Draft
FDA.SDTMIG.FB2503,FB2503,Subject is assigned to an arm code (randomized) but has no record in EX.,"If a subject is assigned to an arm, the subject should have a record in EX.",SDTMIG,3.2,"{""Classes"":{""Include"":[""SPECIAL PURPOSE""]},""Domains"":{""Include"":[""DM""]}}",Partially Executable,Draft
FDA.SDTMIG.FB1112,FB1112,The count of occurrences of TSPARAMCD = PCLASS is in the list of TSPARAMCD with TSVAL populated is gt 1.,The count of occurrences of TSPARAMCD = PCLASS is in the list of TSPARAMCD with TSVAL populated is gt 1.,SDTMIG,"3.2, 3.3, 3.4","{""Classes"":{""Include"":[""TRIAL DESIGN""]},""Domains"":{""Include"":[""TS""]}}",Partially Executable,Draft
FDA.SDTMIG.FB1109,FB1109,"The set (EGBLIND, EGCTMON, EGLEADPR, EGLEADSM, EGRDMETH, EGREPLBL, EGREPLTR, EGTWVALG) is included in the list of TSPARAMCD with TSVAL populated.","The set (EGBLIND, EGCTMON, EGLEADPR, EGLEADSM, EGRDMETH, EGREPLBL, EGREPLTR, EGTWVALG) is included in the list of TSPARAMCD with TSVAL populated.",SDTMIG,"3.2, 3.3, 3.4","{""Classes"":{""Include"":[""ALL""]},""Domains"":{""Include"":[""ALL""]}}",Fully Executable,Draft
FDA.SDTMIG.FB1108,FB1108,TSPARAMCD=DCUTDESC and TSPARAMCD=DCUTDTC do not share the same TSGRPID and TSVAL values.,TSPARAMCD=DCUTDESC and TSPARAMCD=DCUTDTC do not share the same TSGRPID and TSVAL values.,SDTMIG,"3.2, 3.3, 3.4","{""Classes"":{""Include"":[""ALL""]},""Domains"":{""Include"":[""ALL""]}}",Fully Executable,Draft
FDA.SDTMIG.FB1103,FB1103,"TSVAL (Standard Name) does not match corresponding name as listed in section 5.2 of the TCG for TAUGs and is in the CTAUGRS codelist (C160925), as published in the CDISC Library.","Raise an issue when TSVAL (Standard Name) does not match corresponding name as listed in section 5.2 of the TCG for TAUGs and is in the CTAUGRS codelist (C160925), as published in the CDISC Library.",SDTMIG,"3.2, 3.4","{""Classes"":{""Include"":[""TRIAL DESIGN""]},""Domains"":{""Include"":[""TS""]}}",Fully Executable,Draft
FDA.SDTMIG.FB1101,FB1101,Not all trial design datasets as listed in the corresponding IG have been submitted.,All trial design datasets as listed in the corresponding IG should be present in the submission.,SDTMIG,"3.2, 3.3, 3.4","{""Classes"":{""Include"":[""TRIAL DESIGN""]},""Domains"":{""Include"":[""ALL""]}}",Fully Executable,Draft
FDA.SDTMIG.FB3405,FB3405,'--STDTC falls after RFPENDTC.,Start Date/Time (--STDTC) should be prior or equal to the Date/Time of End of Participation (RFPENDTC),SDTMIG,"3.2, 3.3, 3.4","{""Classes"":{""Include"":[""INTERVENTIONS"",""EVENTS"",""SPECIAL PURPOSE""]},""Domains"":{""Include"":[""ALL""]}}",Fully Executable,Draft
FDA.SDTMIG.FB3403,FB3403,EXENDTC falls after the last DSSTDTC.,End Date/Time of Treatment (EXENDTC) should be prior or equal to the Start Date/Time of the latest Disposition Event (DSSTDTC).,"SDTMIG, SENDIG, SENDIG-DART, SENDIG-AR, SENDIG-GENETOX","3.2, 3.3, 3.4, 3.0, 3.1, 3.1.1, 1.1, 1.2, 1.0","{""Classes"":{""Include"":[""INTERVENTIONS""]},""Domains"":{""Include"":[""EX""]}}",Fully Executable,Draft
FDA.SDTMIG.FB3402,FB3402,EXSTDTC falls after the last DSSTDTC.,Start Date/Time of Treatment (EXSTDTC) should be prior or equal to the Start Date/Time of the latest Disposition Event (DSSTDTC).,"SDTMIG, SENDIG, SENDIG-DART, SENDIG-AR, SENDIG-GENETOX","3.2, 3.3, 3.4, 3.0, 3.1, 3.1.1, 1.1, 1.2, 1.0","{""Classes"":{""Include"":[""INTERVENTIONS""]},""Domains"":{""Include"":[""EX""]}}",Fully Executable,Draft
FDA.SDTMIG.FB2303,FB2303,A subject has a record in EX but is not assigned to a treatment while participating in an interventional study,All subjects in the Exposure domain who are participating in a study that includes an interventional product must be assigned to a treatment.,SDTMIG,3.2,"{""Classes"":{""Include"":[""SPECIAL PURPOSE""]},""Domains"":{""Include"":[""DM""]}}",Fully Executable,Draft
CORE-000581,"CG0368, TIG0532, TRC1736a, TRC1736c",DM dataset is missing.,DM dataset should be present.,"SDTMIG, TIG, SENDIG, SENDIG-GENETOX, SENDIG-DART, SENDIG-AR","3.4, 3.2, 3.3, 1.0, 3.0, 3.1, 3.1.1, 1.1, 1.2","{""Classes"":{""Include"":[""ALL""]},""Domains"":{""Include"":[""ALL""]},""Use_Case"":""INDH""}",Fully Executable,Published
CORE-000505,"CG0285, TRC1734c",TSVAL where TSPARMCD = SSTDTC is not in ISO 8601 format.,Study Start Date (SSTDTC) value in the TS dataset should be populated in ISO 8601 format.,"SDTMIG, SENDIG, SENDIG-GENETOX, SENDIG-DART, SENDIG-AR","3.2, 3.3, 3.4, 3.0, 3.1, 3.1.1, 1.0, 1.1, 1.2","{""Classes"":{""Include"":[""TRIAL DESIGN""]},""Domains"":{""Include"":[""TS""]}}",Fully Executable,Published
FDA.TRC1734b,TRC1734b,Missing TSPARMCD = SSTDTC record in TS dataset.,FDA desired parameter Study Start Date (SSTDTC) should be present in the TS domain.,"SDTMIG, SENDIG, SENDIG-GENETOX, SENDIG-DART, SENDIG-AR","3.2, 3.3, 3.4, 3.0, 3.1, 3.1.1, 1.0, 1.1, 1.2","{""Classes"":{""Include"":[""TRIAL DESIGN""]},""Domains"":{""Include"":[""TS""]}}",Fully Executable,Draft
FDA.TRC1734a,TRC1734a,Missing TS dataset.,TS dataset is present in the submission.,"SDTMIG, SENDIG, SENDIG-GENETOX, SENDIG-DART, SENDIG-AR","3.2, 3.3, 3.4, 3.0, 3.1, 3.1.1, 1.0, 1.1, 1.2","{""Classes"":{""Include"":[""ALL""]},""Domains"":{""Include"":[""ALL""]}}",Fully Executable,Draft
FDA.SDTMIG.FB7101,FB7101,PCSPEC is not equal to PPSPEC for the same drug or metabolite.,"For the same drug or metabolite (PCTEST), specimen type (PCSPEC) should be consistent across pharmacokinetic datasets within a submission.","SDTMIG, SENDIG, SENDIG-GENETOX, SENDIG-DART, SENDIG-AR","3.2, 3.3, 3.4, 3.0, 3.1, 3.1.1, 1.0, 1.1, 1.2","{""Classes"":{""Include"":[""FINDINGS"",""RELATIONSHIP""]},""Domains"":{""Include"":[""PP"",""PC"",""RELREC""]}}",Partially Executable,Draft
CORE-000747,FB6001,Race Term 'Haitian' or 'Negro' is collected (SUPPDM.CRACE) but is not mapped to RACE = BLACK OR AFRICAN AMERICAN in DM dataset.,"When Race Term 'Haitian' or 'Negro' (SUPPDM.CRACE) is collected, it should be mapped to Race (RACE) 'BLACK OR AFRICAN AMERICAN' in the DM dataset.",SDTMIG,"3.2, 3.3, 3.4","{""Classes"":{""Include"":[""SPECIAL PURPOSE"",""RELATIONSHIP""]},""Domains"":{""Include"":[""DM""]}}",Fully Executable,Published
CORE-000865,FB4405,"'--ELTM is populated, but --TPTREF is missing.","When Planned Elapsed Time from Time Point Ref (--ELTM) is populated, Time Point Reference (--TPTREF) should also be populated.","SDTMIG, SENDIG, SENDIG-DART, SENDIG-AR, SENDIG-GENETOX","3.2, 3.3, 3.4, 3.0, 3.1, 3.1.1, 1.1, 1.2, 1.0","{""Classes"":{""Include"":[""FINDINGS"",""EVENTS"",""INTERVENTIONS""]},""Domains"":{""Include"":[""ALL""]}}",Fully Executable,Published
CORE-000616,FB4403,"'--STINT is populated, but --TPTREF is missing.","When Planned Start of Assessment Interval (--STINT) is populated, Time Point Reference (--TPTREF) should also be populated.","SDTMIG, SENDIG, SENDIG-DART, SENDIG-AR, SENDIG-GENETOX","3.2, 3.3, 3.4, 3.1.1, 1.1, 1.2, 1.0","{""Classes"":{""Include"":[""ALL""]},""Domains"":{""Include"":[""ALL""]}}",Fully Executable,Published
CORE-000642,FB4404,"'--ENINT is populated, but --TPTREF is missing.","When Planned End of Assessment Interval (--ENINT) is populated, Time Point Reference (--TPTREF) should also be populated.","SDTMIG, SENDIG, SENDIG-DART, SENDIG-AR, SENDIG-GENETOX","3.2, 3.3, 3.4, 3.1.1, 1.1, 1.2, 1.0","{""Classes"":{""Include"":[""INTERVENTIONS"",""EVENTS"",""FINDINGS""]},""Domains"":{""Include"":[""ALL""]}}",Fully Executable,Published
CORE-000892,FB4301,End timepoint is populated but start timepoint is missing.,"When Eed timepoint (--ENDTC, --ENRF or --ENRTPT) is populated, related start timepoint (--STDTC, --STRF or --STRTPT should also be populated.","SDTMIG, SENDIG, SENDIG-GENETOX, SENDIG-DART, SENDIG-AR","3.2, 3.3, 3.4, 3.0, 3.1, 3.1.1, 1.0, 1.1, 1.2","{""Classes"":{""Include"":[""INTERVENTIONS"",""EVENTS"",""FINDINGS""]},""Domains"":{""Exclude"":[""NONE""]}}",Fully Executable,Published
CORE-000880,FB4006,Negative value for --PDUR.,Planned Duration (--PDUR) value should not be negative.,SDTMIG,3.4,"{""Classes"":{""Include"":[""FINDINGS""]},""Domains"":{""Include"":[""BS"",""CP"",""GF"",""IS"",""LB"",""MB"",""MS"",""MI"",""PC"",""PP""]}}",Fully Executable,Published
CORE-000305,FB4005,Negative value for --DUR.,Collected Duration (--DUR) value should not be negative.,"SDTMIG, SENDIG, SENDIG-GENETOX, SENDIG-DART, SENDIG-AR","3.2, 3.3, 3.4, 3.0, 3.1, 3.1.1, 1.0, 1.1, 1.2","{""Classes"":{""Include"":[""ALL""]},""Domains"":{""Include"":[""ALL""]}}",Fully Executable,Published
CORE-000518,FB4004,Negative value for --VAMT.,Value for Treatment Vehicle Amount (--VAMT) should not be negative.,"SDTMIG, SENDIG, SENDIG-GENETOX, SENDIG-DART, SENDIG-AR","3.2, 3.3, 3.4, 3.0, 3.1, 3.1.1, 1.0, 1.1, 1.2","{""Classes"":{""Include"":[""INTERVENTIONS""]},""Domains"":{""Include"":[""ALL""]}}",Fully Executable,Published
CORE-000517,FB4003,Negative value for --DOSTOT.,Total Daily Dose (--DOSTOT) value should not be negative.,"SDTMIG, SENDIG, SENDIG-GENETOX, SENDIG-DART, SENDIG-AR","3.2, 3.3, 3.4, 3.0, 3.1, 3.1.1, 1.0, 1.1, 1.2","{""Classes"":{""Include"":[""INTERVENTIONS""]},""Domains"":{""Include"":[""ALL""]}}",Fully Executable,Published
CORE-000308,FB4002,Negative value for --DOSE.,Dose (--DOSE) value should not be negative,"SDTMIG, SENDIG, SENDIG-GENETOX, SENDIG-DART, SENDIG-AR","3.2, 3.3, 3.4, 3.0, 3.1, 3.1.1, 1.0, 1.1, 1.2","{""Classes"":{""Include"":[""INTERVENTIONS""]},""Domains"":{""Include"":[""ALL""]}}",Fully Executable,Published
CORE-000310,FB4001,Negative value for AGE.,Age (AGE) value should not be negative,"SDTMIG, SENDIG, SENDIG-GENETOX, SENDIG-DART, SENDIG-AR","3.2, 3.3, 3.4, 3.0, 3.1, 3.1.1, 1.0, 1.1, 1.2","{""Classes"":{""Include"":[""SPECIAL PURPOSE""]},""Domains"":{""Include"":[""DM""]}}",Fully Executable,Published
CORE-000889,FB3902,'--ORNRHI is less than or equal to --ORNRLO.,Normal Range Upper Limit-Original Units (--ORNRHI) is greater than the Normal Range Lower Limit-Original Units (--ORNRLO).,"SDTMIG, SENDIG, SENDIG-DART, SENDIG-GENETOX, SENDIG-AR","3.2, 3.3, 3.4, 3.0, 3.1, 3.1.1, 1.1, 1.2, 1.0","{""Classes"":{""Include"":[""FINDINGS""]},""Domains"":{""Include"":[""ALL""]}}",Partially Executable - Possible Underreporting,Published
CORE-000672,FB3901,'--STNRHI is less than or equal to --STNRLO.,Normal Range Upper Limit-Standard Units (--STNRHI) should be greater than the Normal Range Lower Limit-Standard Units (--STNRLO).,"SDTMIG, SENDIG, SENDIG-DART, SENDIG-GENETOX, SENDIG-AR","3.2, 3.3, 3.4, 3.0, 3.1, 3.1.1, 1.1, 1.2, 1.0","{""Classes"":{""Include"":[""FINDINGS""]},""Domains"":{""Include"":[""ALL""]}}",Fully Executable,Published
FDA.SDTMIG.FB3801,FB3801,Timing information is collected but not submitted.,Timing information should be submitted when collected.',"SDTMIG, SENDIG, SENDIG-GENETOX, SENDIG-DART, SENDIG-AR","3.2, 3.3, 3.4, 3.0, 3.1, 3.1.1, 1.0, 1.1, 1.2","{""Classes"":{""Include"":[""INTERVENTIONS"",""EVENTS"",""FINDINGS""]},""Domains"":{""Include"":[""ALL""]}}",Partially Executable,Draft
CORE-000248,"CG0026, SEND63, TIG0265, TIG0308, FB3702",'--TPTREF value is missing when --RFTDTC is populated.,Time point reference (--TPTREF) should be populated when reference time point (--RFTDTC) is populated.,"SDTMIG, SENDIG, SENDIG-DART, SENDIG-GENETOX, TIG, SENDIG-AR","3.4, 3.3, 3.2, 3.0, 3.1, 3.1.1, 1.1, 1.2, 1.0","{""Classes"":{""Include"":[""ALL""]},""Domains"":{""Include"":[""ALL""]},""Use_Case"":""INDH, PROD, NONCLIN""}",Fully Executable,Published
CORE-000165,"CG0090, TIG0355, FB3701",'--TPTREF is missing when --RFTDTC is present.,"Time point reference (--TPTREF) should be present in the dataset, when reference time point (--RFTDTC) is also present in the dataset.","SDTMIG, TIG, SENDIG, SENDIG-GENETOX, SENDIG-DART, SENDIG-AR","3.4, 3.3, 3.2, 1.0, 3.0, 3.1, 3.1.1, 1.1, 1.2","{""Classes"":{""Include"":[""ALL""]},""Domains"":{""Include"":[""ALL""]},""Use_Case"":""INDH, PROD""}",Fully Executable,Published
CORE-000760,FB3413,RFCSTDTC falls after RFCENDTC.,Date/Time of First Challenge Agent Admin (RFCSTDTC) should be prior or equal to the Date/Time of Last Challenge Agent Admin (RFCENDTC).,"SDTMIG, SENDIG-AR","3.4, 1.0","{""Classes"":{""Include"":[""SPECIAL PURPOSE""]},""Domains"":{""Include"":[""DM""]}}",Fully Executable,Published
CORE-000658,FB3412,RFICDTC falls after RFXSTDTC.,Date/Time of Informed Consent (RFICDTC) should be prior or equal to the Date/Time of First Study Treatment (RFXSTDTC).,SDTMIG,"3.2, 3.3, 3.4","{""Classes"":{""Include"":[""SPECIAL PURPOSE""]},""Domains"":{""Include"":[""DM""]}}",Fully Executable,Published
CORE-000713,FB3411,RFICDTC falls after RFSTDTC.,Date/Time of Informed Consent (RFICDTC) should be prior or equal to the Subject Reference Start Date/Time (RFSTDTC).,SDTMIG,"3.3, 3.4","{""Classes"":{""Include"":[""SPECIAL PURPOSE""]},""Domains"":{""Include"":[""DM""]}}",Fully Executable,Published
CORE-000714,FB3408,RFXSTDTC falls after RFXENDTC.,Date/Time of First Study Treatment (RFXSTDTC) variable value should be prior or equal to the Date/Time of Last Study Treatment (RFXENDTC).,"SDTMIG, SENDIG, SENDIG-GENETOX, SENDIG-DART, SENDIG-AR","3.2, 3.3, 3.4, 3.1, 3.1.1, 1.0, 1.1, 1.2","{""Classes"":{""Include"":[""SPECIAL PURPOSE""]},""Domains"":{""Include"":[""DM""]}}",Fully Executable,Published
CORE-000952,FB3407,'--ENDTC falls after RFPENDTC.,End Date/Time (--ENDTC) variable value should be prior or equal to the Date/Time of End of Participation (RFPENDTC).,SDTMIG,"3.2, 3.3, 3.4","{""Classes"":{""Include"":[""INTERVENTIONS"",""EVENTS"",""FINDINGS"",""FINDINGS ABOUT"",""SPECIAL PURPOSE""]},""Domains"":{""Exclude"":[""DM"",""DS""],""Include"":[""ALL""]}}",Fully Executable,Published
